year,transaction_groups,quantity_GWh,type
2020,"consumption in agriculture, forestry and fishing",5203.0,consumption
2020,consumption not elsewhere specified (industry),16090.0,consumption
2020,energy industries own use,10240.0,consumption
2020,own use by briquetting plants,3647.0,consumption
2020,own use by coal mines,45.0,consumption
2020,own use by coke ovens,257.0,consumption
2020,"own use by electricity, heat and chp plants",27772.0,consumption
2020,own use by oil and gas extraction,501.0,consumption
2020,own use by oil refineries,5790.0,consumption
2020,own use by pump-storage plants,8872.0,consumption
